,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep,top
0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2991958489071414,0.21622565858029227,0.2991958489071414,0.0,0.2991958489071414,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.0,0.0,1,1
1,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.48420379254325163,0.21622565858029227,0.2991958489071414,0.18500794363611028,0.2991958489071414,0.0,0.0,0.25,0.125,0.125,0.125,0.125,0.0,0.0,1,2
2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.18500794363611028,0.2991958489071414,0.0,0.0,0.375,0.125,0.125,0.125,0.125,0.0,0.0,1,3
3,0.25,0.75,0.75,0.75,0.75,1.0,1.0,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.18500794363611028,0.2991958489071414,0.0,0.0,0.375,0.125,0.125,0.125,0.125,0.0,0.0,1,4
4,0.4,0.8,0.8,0.8,0.8,0.8,1.0,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.18500794363611028,0.2991958489071414,0.18500794363611028,0.0,0.375,0.125,0.125,0.125,0.125,0.125,0.0,1,5
5,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.18500794363611028,0.18500794363611028,0.375,0.125,0.125,0.25,0.25,0.125,0.125,1,6
6,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.29960924837316993,0.18500794363611028,0.375,0.125,0.125,0.25,0.25,0.25,0.125,1,7
7,0.625,0.875,0.875,0.75,0.75,0.75,0.875,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.29960924837316993,0.18500794363611028,0.375,0.125,0.125,0.25,0.25,0.25,0.125,1,8
8,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.29960924837316993,0.29960924837316993,0.375,0.125,0.125,0.25,0.25,0.25,0.25,1,9
9,0.7,0.9,0.9,0.8,0.8,0.8,0.8,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.29960924837316993,0.29960924837316993,0.375,0.125,0.125,0.25,0.25,0.25,0.25,1,10
10,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.29960924837316993,0.29960924837316993,0.375,0.125,0.125,0.25,0.25,0.25,0.25,1,11
11,0.75,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.3201500553622858,0.29960924837316993,0.375,0.125,0.125,0.25,0.25,0.375,0.25,1,12
12,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.3197366558962573,0.3201500553622858,0.3201500553622858,0.375,0.125,0.125,0.25,0.25,0.375,0.375,1,13
13,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7004294511235439,0.21622565858029227,0.2991958489071414,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.125,0.125,0.25,0.375,0.5,0.5,1,14
14,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.7333333333333333,0.7333333333333333,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,15
15,0.8125,0.875,0.875,0.875,0.8125,0.75,0.75,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,16
16,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,17
17,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,18
18,0.8421052631578947,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,19
19,0.85,0.9,0.9,0.9,0.85,0.8,0.8,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,20
20,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,21
21,0.8636363636363636,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8181818181818182,0.8181818181818182,0.7004294511235439,0.40123360221640253,0.3197366558962573,0.29960924837316993,0.5047445995323676,0.5363757139425781,0.5363757139425781,0.375,0.25,0.25,0.25,0.375,0.5,0.5,1,22
